time	V(n001)	V(n006)
2.940629094525126e-01	-3.020106e+01	3.020106e+01
2.943985755627535e-01	-3.020107e+01	3.020107e+01
2.947424963874280e-01	-3.020115e+01	3.020115e+01
2.952041142636400e-01	-3.020140e+01	3.020140e+01
2.956322751641235e-01	-3.020157e+01	3.020157e+01
2.963269380727784e-01	-3.020164e+01	3.020164e+01
2.973035005727784e-01	-3.020164e+01	3.020164e+01
2.982800630727784e-01	-3.020164e+01	3.020164e+01
2.992566255727784e-01	-3.020164e+01	3.020164e+01
3.002331880727784e-01	-3.020164e+01	3.020164e+01
3.012097505727784e-01	-3.020164e+01	3.020164e+01
3.021863130727784e-01	-3.020164e+01	3.020164e+01
3.031628755727784e-01	-3.020164e+01	3.020164e+01
3.039970198043307e-01	-3.020164e+01	3.020164e+01
3.043492683552931e-01	-3.020164e+01	3.020164e+01
3.046830485820550e-01	-3.020197e+01	3.020197e+01
3.050441469908465e-01	-3.020297e+01	3.020297e+01
3.053718844740134e-01	-3.020380e+01	3.020380e+01
3.059050151827207e-01	-3.020417e+01	3.020417e+01
3.067660227133686e-01	-3.020417e+01	3.020417e+01
3.077425852133686e-01	-3.020417e+01	3.020417e+01
3.087191477133686e-01	-3.020417e+01	3.020417e+01
3.096957102133686e-01	-3.020417e+01	3.020417e+01
3.106722727133686e-01	-3.020417e+01	3.020417e+01
3.116488352133686e-01	-3.020417e+01	3.020417e+01
3.126253977133686e-01	-3.020417e+01	3.020417e+01
3.136019602133686e-01	-3.020417e+01	3.020417e+01
3.141660090414340e-01	-3.020417e+01	3.020417e+01
